sentence_id,nodes,edges,tree_height,leaf_nodes,branching_factor,avg_dependency_distance,sentence,length,flesch_reading_ease,flesch_kincaid_grade
56,23,26,4,13,1.1304347826086956,0,"The study of the movement of water as it occurs on Earth is called hydrology, and their effect on the landscape is covered by geomorphology.",25,46.10000000000002,13.040000000000004
57,21,23,4,9,1.0952380952380951,0,"=== Source and drainage basin === Rivers are part of the water cycle, the continuous processes by which water moves about Earth.",22,51.17500000000004,11.090000000000003
58,14,14,5,8,1.0,0,This means that all water that flows in rivers must ultimately come from precipitation.,14,53.63928571428573,9.255714285714287
59,18,20,4,10,1.1111111111111112,0,"The headwaters of a river are the smaller streams that feed a river, and make up the river's source.",19,76.2342105263158,7.346315789473689
60,14,13,6,7,0.9285714285714286,0,These streams may be small and flow rapidly down the sides of mountains.,13,89.51692307692309,4.003076923076925
61,22,25,6,11,1.1363636363636365,0,All of the land uphill of a river that feeds it with water in this way is in that river's drainage basin or watershed.,24,69.67500000000004,9.503333333333334
62,13,15,4,6,1.1538461538461535,0,One example of this is the Continental Divide of the Americas in the Rocky Mountains.,15,44.97000000000003,10.713333333333338
63,17,19,5,8,1.1176470588235294,0,"Water on the western side of the divide flows into the Pacific Ocean, whereas water on the other side flows into the Atlantic Ocean.",24,48.525000000000034,12.453333333333331
64,14,14,3,8,1.0,0,Not all precipitation flows directly into rivers; some water seeps into underground aquifers.,13,17.932307692307717,13.98769230769231
65,20,24,7,8,1.2,0,"These, in turn, can still feed rivers via the water table, the groundwater beneath the surface of the land stored in the soil.",23,69.46391304347827,9.284347826086956
66,19,19,9,7,1.0,0,Water flows into rivers in places where the river's elevation is lower than that of the water table.,18,52.265000000000015,10.441111111111113
67,14,13,5,8,0.9285714285714286,0,This phenomenon is why rivers can still flow even during times of drought.,13,69.99384615384618,6.726153846153846
68,16,15,6,8,0.9375,0,Rivers are also fed by the melting of snow glaciers present in higher elevation regions.,15,50.610000000000014,9.92666666666667
69,18,17,4,9,0.9444444444444444,0,"In summer months, higher temperatures melt snow and ice, causing additional water to flow into rivers.",16,47.83250000000001,10.562500000000004
70,13,13,5,6,1.0,0,"=== Flow === Rivers flow downhill, with their direction determined by gravity.",12,44.405,9.55
71,21,20,4,13,0.9523809523809524,0,"A common misconception holds that all or most rivers flow from North to South, but this is not true.",19,80.68684210526318,6.725263157894737
72,12,12,3,8,1.0,0,"As rivers flow downstream, they eventually merge to form larger rivers.",11,49.54272727272729,9.081818181818182
73,17,17,4,9,1.0,0,"A river that feeds into another is a tributary, and the place they meet is a confluence.",17,60.19176470588238,9.08705882352941
74,9,9,3,5,1.0,0,Rivers must flow to lower altitudes due to gravity.,9,56.70000000000002,7.58666666666667
75,14,15,5,6,1.0714285714285714,0,The bed of a river is typically within a river valley between hills or mountains.,15,61.890000000000015,8.353333333333339
76,19,21,6,8,1.105263157894737,0,Rivers flowing through an impermeable section of land such as rocks will erode the slopes on the sides of the river.,21,68.69142857142859,8.895238095238096
77,23,26,5,11,1.1304347826086956,0,"When a river carves a plateau or a similar high-elevation area, a canyon can form, with cliffs on either side of the river.",23,51.07260869565218,11.849565217391303
78,21,24,7,6,1.1428571428571428,0,"Areas of a river with softer rock weather faster than areas with harder rock, causing a difference in elevation between two points of a river.",25,39.33200000000002,13.984000000000002
79,17,18,4,8,1.0588235294117647,0,This can cause the formation of a waterfall as the river's flow falls down a vertical drop.,17,70.14470588235295,7.698823529411765
80,21,20,4,13,0.9523809523809524,0,A river in a permeable area does not exhibit this behavior and may even have raised banks due to sediment.,20,46.94500000000005,11.68
81,20,20,4,11,1.0,0,"Rivers also change their landscape through their transportation of sediment, often known as alluvium when applied specifically to rivers.",19,27.25526315789477,14.177894736842106
82,15,14,4,8,0.9333333333333332,0,The sand in deserts and the sediment that forms bar islands is from rivers.,14,77.81071428571428,5.884285714285717
83,14,13,4,7,0.9285714285714286,0,This sediment may be deposited in river valleys or carried to the sea.,13,56.97846153846157,8.541538461538462
84,21,25,0,8,1.1904761904761905,0,The sediment yield of a river is the quantity of sand per unit area within a watershed that is removed over a period of time.,25,46.10000000000002,13.040000000000004
85,15,14,3,10,0.9333333333333332,0,"Rivers rarely run in a straight direction, instead preferring to bend or meander.",13,50.470769230769264,9.44923076923077
86,20,22,6,9,1.1,0,This is because any natural impediment to the flow of the river may cause the current to deflect in a different direction.,22,46.06863636363636,12.29909090909091
87,22,22,5,12,1.0,0,"A mountain is an elevated portion of the surface of a planet, generally with steep sides that show significant exposed bedrock.",21,40.4914285714286,12.828571428571426
88,19,19,6,12,1.0,0,It may either have a limited summit area or be a smaller plateau with high elevation and steep sides.,19,53.97105263157897,10.451578947368422
89,14,13,4,7,0.9285714285714286,0,"A few mountains are isolated summits, but most occur in mountain ranges.",12,53.655,8.756666666666668
90,22,23,8,13,1.0454545454545454,0,"Mountains are formed through tectonic forces, erosion, or volcanism, which act on time scales of up to tens of millions of years.",22,65.29590909090909,9.61727272727273
91,14,14,4,6,1.0,0,High elevations on mountains produce colder climates than at sea level at similar latitude.,14,35.5107142857143,11.784285714285716
92,17,17,4,10,1.0,0,These colder climates strongly affect the ecosystems of mountains: different elevations have different plants and animals.,16,16.107500000000016,14.9875
93,27,27,0,15,1.0,0,"The highest mountain on Earth is Mount Everest in the Himalayas of Asia, whose summit is 8,850 m (29,035 ft) above mean sea level.",24,59.10000000000004,10.978333333333332
94,23,23,6,12,1.0,0,"The highest known mountain on any planet in the Solar System is Olympus Mons on Mars at 21,171 m (69,459 ft).",21,68.69142857142859,8.895238095238096
95,12,11,4,6,0.9166666666666666,0,== Definition == There is no universally accepted definition of a mountain.,12,2.105000000000018,15.45
96,18,20,6,7,1.1111111111111112,0,"Elevation, volume, relief, steepness, spacing and continuity have been used as criteria for defining a mountain.",16,16.107500000000016,14.9875
97,12,12,3,6,1.0,0,Whether a landform is called a mountain may depend on local usage.,12,67.75500000000001,6.790000000000003
98,30,31,7,15,1.0333333333333334,0,"John Whittow's Dictionary of Physical Geography states ""Some authorities regard eminences above 600 metres (1,969 ft) as mountains, those below being referred to as hills.""",25,22.412000000000035,16.344
99,27,28,6,15,1.037037037037037,0,"In addition, some definitions also include a topographical prominence requirement, such as that the mountain rises 300 metres (984 ft) above the surrounding terrain.",24,23.850000000000023,15.895
100,12,11,3,7,0.9166666666666666,0,Any similar landform lower than this height was considered a hill.,11,57.23363636363638,8.009090909090911
101,20,20,4,12,1.0,0,"However, today, the United States Geological Survey concludes that these terms do not have technical definitions in the US.",19,31.70789473684212,13.556842105263158
102,27,28,5,15,1.037037037037037,0,"The UN Environmental Programme's definition of ""mountainous environment"" includes any of the following: Class 1: Elevation greater than 4,500 m (14,764 ft).",22,15.305000000000009,16.59
103,15,15,7,8,1.0,0,"Class 2: Elevation between 3,500 and 4,500 m (11,483 and 14,764 ft).",12,81.85500000000002,4.823333333333334
104,15,15,6,8,1.0,0,"Class 3: Elevation between 2,500 and 3,500 m (8,202 and 11,483 ft).",12,81.85500000000002,4.823333333333334
105,23,23,6,12,1.0,0,"Class 4: Elevation between 1,500 and 2,500 m (4,921 and 8,202 ft), with a slope greater than 2 degrees.",19,76.2342105263158,7.346315789473689
106,25,33,6,13,1.32,0,"Class 6: Elevation between 300 and 1,000 m (984 and 3,281 ft), with a 300 m (984 ft) elevation range within 7 km (4.3 mi).",25,69.78800000000001,9.736
107,19,19,4,13,1.0,0,"Using these definitions, mountains cover 33% of Eurasia, 19% of South America, 24% of North America, and 14% of Africa.",20,34.255000000000024,13.450000000000005
108,15,14,5,10,0.9333333333333332,0,"As a whole, 24% of the Earth's land mass is mountainous.",11,95.68818181818185,2.645454545454548
109,16,16,4,10,1.0,0,"== Geology == There are three main types of mountains: volcanic, fold, and block.",14,67.75500000000001,6.790000000000003
110,22,22,6,13,1.0,0,"All three types are formed from plate tectonics: when portions of the Earth's crust move, crumple, and dive.",18,85.16499999999999,5.852222222222224
111,22,22,0,12,1.0,0,"Compressional forces, isostatic uplift and intrusion of igneous matter forces surface rock upward, creating a landform higher than the surrounding features.",21,12.291428571428613,16.761904761904763
112,18,18,4,11,1.0,0,"The height of the feature makes it either a hill or, if higher and steeper, a mountain.",17,80.09764705882354,6.310588235294119
113,17,16,4,9,0.9411764705882352,0,"Major mountains tend to occur in long linear arcs, indicating tectonic plate boundaries and activity.",15,22.410000000000025,13.860000000000005
114,20,24,4,12,1.2,0,"=== Volcanoes === Volcanoes are formed when a plate is pushed below another plate, or at a mid-ocean ridge or hotspot.",21,62.87631578947371,9.209473684210526
115,19,22,4,11,1.1578947368421053,0,"When the magma reaches the surface, it often builds a volcanic mountain, such as a shield volcano or a stratovolcano.",20,51.17500000000004,11.090000000000003
116,13,14,4,6,1.0769230769230769,0,Examples of volcanoes include Mount Fuji in Japan and Mount Pinatubo in the Philippines.,14,35.5107142857143,11.784285714285716
117,20,20,4,12,1.0,0,=== Fold mountains === Fold mountains occur when two plates collide: shortening occurs along thrust faults and the crust is overthickened.,21,58.42368421052632,9.830526315789475
118,17,16,4,10,0.9411764705882352,0,"Thus the continental crust is normally much thicker under mountains, compared to lower lying areas.",15,33.690000000000026,12.286666666666669
119,8,7,2,6,0.875,0,Rock can fold either symmetrically or asymmetrically.,7,18.44428571428574,12.425714285714289
120,20,21,0,10,1.05,0,The upfolds are anticlines and the downfolds are synclines: in asymmetric folding there may also be recumbent and overturned folds.,20,46.94500000000005,11.68
121,12,11,4,7,0.9166666666666666,0,The Balkan Mountains and the Jura Mountains are examples of fold mountains.,12,60.70500000000001,7.773333333333333
122,21,22,7,9,1.0476190476190477,0,=== Block mountains === Block mountains are caused by faults in the crust: a plane where rocks have moved past each other.,22,89.24500000000003,5.780000000000001
123,19,19,9,9,1.0,0,"When rocks on one side of a fault rise relative to the other, it can form a mountain.",18,85.16499999999999,5.852222222222224
124,9,8,2,6,0.8888888888888888,0,The uplifted blocks are block mountains or horsts.,8,82.39000000000001,3.7550000000000026
125,19,18,4,12,0.9473684210526316,0,The intervening dropped blocks are termed graben: these can be small or form extensive rift valley systems.,17,65.16823529411766,8.39294117647059
126,23,26,5,13,1.1304347826086956,0,"This kind of landscape can be seen in East Africa, the Vosges and Rhine valley, and the Basin and Range Province of Western North America.",25,59.63600000000002,11.152
127,14,15,3,8,1.0714285714285714,0,These areas often occur when the regional stress is extensional and the crust is thinned.,15,56.25000000000003,9.140000000000004
128,15,17,6,6,1.1333333333333333,0,Erosion causes the surface of mountains to be younger than the rocks that form the mountains themselves.,17,65.16823529411766,8.39294117647059
130,16,16,5,8,1.0,0,"Plateau mountains, such as the Catskills, are formed from the erosion of an uplifted plateau.",15,61.890000000000015,8.353333333333339
131,20,20,5,10,1.0,0,"== Climate == Climate in the mountains becomes colder at high elevations, due to an interaction between radiation and convection.",20,24.065,14.374444444444446
132,11,11,4,5,1.0,0,Sunlight in the visible spectrum hits the ground and heats it.,11,80.30636363636367,4.790909090909089
133,9,9,2,4,1.0,0,The ground then heats the air at the surface.,9,103.70000000000002,1.0311111111111124
134,15,15,4,10,1.0,0,"However, when air is hot, it tends to expand, which lowers its density.",13,69.99384615384618,6.726153846153846
135,12,11,3,8,0.9166666666666666,0,"Thus, hot air tends to rise and transfer heat upward.",10,95.165,2.4700000000000024
136,7,6,3,4,0.8571428571428571,0,This is the process of convection.,6,73.84500000000001,4.450000000000003
137,16,17,8,7,1.0625,0,A son is a male offspring; a boy or a man in relation to his parents.,16,84.845,5.400000000000002
138,7,6,2,4,0.8571428571428571,0,The female counterpart is a daughter.,6,59.745000000000005,6.416666666666668
139,11,12,3,5,1.0909090909090908,0,"From a biological perspective, a son constitutes a first degree relative.",11,26.470000000000027,12.3
140,20,19,5,11,0.95,0,"In China, a one-child policy was in effect until 2015 in order to address rapid population growth.",17,50.2388235294118,10.47529411764706
141,19,19,6,9,1.0,0,Official birth records showed a rise in the level of male births since the policy was brought into law.,19,71.78157894736843,7.967368421052633
142,24,26,6,15,1.0833333333333333,0,"This was attributed to a number of factors, including the illegal practice of sex-selective abortion and widespread under-reporting of female births.",21,16.32000000000002,16.2
143,13,12,3,8,0.9230769230769232,0,"In patrilineal societies, sons will customarily inherit an estate before daughters.",11,-11.98454545454544,17.663636363636368
144,11,10,3,6,0.9090909090909092,0,"In some cultures, the eldest son has special privileges.",9,66.10000000000002,6.27555555555556
145,19,19,4,10,1.0,0,"For example, in Biblical times, the first-born male was bequeathed the most goods from his father.",16,68.9825,7.612500000000001
146,17,17,3,9,1.0,0,"== Christian symbolism == Among Christians, ""the Son"" or Son of God refers to Jesus Christ.",16,59.68214285714288,8.412857142857145
147,17,22,5,7,1.2941176470588236,0,"Trinitarian Christians view Jesus as the human incarnation of God the second person of the Trinity, known as God the Son.",21,48.54857142857145,11.704761904761906
148,14,14,4,7,1.0,0,"In the Gospels, Jesus sometimes refers to himself as the Son of Man.",13,76.50153846153849,5.818461538461541
149,11,12,5,5,1.0909090909090908,0,It may vary between the beginning or the termination of the surname.,12,53.655,8.756666666666668
150,12,18,3,7,1.5,0,"Examples: ""Ibn Sina"" (""son of Sina""), ""Ibn Khaldun"" (""son of Khaldun"").",11,64.9245454545455,6.936363636363637
151,8,7,2,6,0.875,0,Berber U (also spelled ou).,5,83.32000000000004,2.879999999999999
154,12,20,3,7,1.6666666666666667,0,"Examples: ""Ayt Buyafar"" (""sons of Buyafar""), ""Ayt Mellul"" (""sons of Mellul"").",11,64.9245454545455,6.936363636363637
157,15,21,4,9,1.4,0,"Examples: ""Henriksen"" (""son of Henrik""), ""Jensen"" (""son of Jens""), ""Andersen"" (""son of Anders"").",13,50.470769230769264,9.44923076923077
158,16,24,5,9,1.5,0,"Examples: ""Jansen"" (""son of Jan""), ""Petersen"" (""son of Peter""), ""Pietersen"" (""son of Pieter"") Zoon.",14,65.72500000000001,7.570000000000004
159,17,28,4,10,1.6470588235294117,0,"Examples: ""Jefferson"" (""son of Jeffery""), ""Wilson"" (""son of William""), ""Edson"" (""son of Edward""), ""Anderson"" (""son of Ander"").",17,40.2858823529412,11.863529411764706
160,10,9,3,7,0.9,0,"Example: ""Fernandes"" (""son of Fernand"").",5,32.56000000000003,9.96
161,10,9,4,6,0.9,0,"Example: ""Pierrot"" (""son of Pierre"").",5,49.48000000000002,7.600000000000001
162,10,9,4,6,0.9,0,"Example: ""Danton"" (""son of Anton"").",5,49.48000000000002,7.600000000000001
163,8,7,3,5,0.875,0,Hebrew ben or bin before 1300 BC.,7,90.95857142857145,2.3114285714285714
164,14,13,6,8,0.9285714285714286,0,"Example: ""Benjamin"" (""son of a right-hand man"").",7,54.70142857142861,7.368571428571428
165,15,16,3,7,1.0666666666666669,0,"Also, the Hebrew word for ""person"" is ben Adam, meaning ""son of Adam"".",13,69.99384615384618,6.726153846153846
166,11,13,3,8,1.181818181818182,0,"Example: ""Mera beta Tim"" (""my son Tim"").",7,78.87285714285717,3.997142857142858
169,15,23,4,9,1.5333333333333334,0,"Examples: ""MacThomas"" (""son of Thomas""), ""McDonald"" (""son of Donald""), ""MacLean"" (""son of Lean"").",13,56.97846153846157,8.541538461538462
170,16,23,4,10,1.4375,0,"Examples: ""di Stefano"" (""son of Steven""), ""di Giovanni"" (""son of John""), ""di Giuseppe"" (""son of Joseph"").",16,47.83250000000001,10.562500000000004
171,16,25,4,10,1.5625,0,"Examples: ""de Paolo"" (""son of Paul""), ""de Mauro"" (""son of Maurus""), ""de Giorgio"" (""son of George"").",16,68.9825,7.612500000000001
172,15,20,4,9,1.3333333333333333,0,"Examples: ""d'Antonio"" (""son of Anthony""), ""d'Adriano"" (""son of Adrian""), ""d'Agostino"" (""son of Augustine"").",13,11.424615384615407,14.895384615384618
173,3,2,1,2,0.6666666666666666,0,#NAME?,1,121.22000000000004,-3.3999999999999986
174,18,22,5,11,1.2222222222222223,0,"Examples: ""Paoli"" (""son of Paolo""), ""Richetti"" (""son of Richetto, a short name for Enrico"").",14,59.68214285714288,8.412857142857145
175,16,22,4,10,1.375,0,"Examples: ""Magnusson"" (""son of Magnus""); ""Sigurdson"" (""son of Sigurd""), ""Odinson"" (""son of Odin"").",13,43.96307692307696,10.356923076923078
176,10,9,3,7,0.9,0,"Example: ""Mahdipur"" (""son of Mahdi"").",5,66.40000000000003,5.240000000000002
177,12,12,5,7,1.0,0,"Example: ""Muhammadzadeh"" (""son/daughter of Muhammad"").",5,-1.2799999999999727,14.68
178,16,15,5,9,0.9375,0,Tagalog Anak Example: mga Anak ni Pedro (son and daughter of Pedro) Tamil Magan.,14,53.63928571428573,9.255714285714287
179,11,11,3,8,1.0,0,"Example: ""En Magan Murugan"" (""my son Murugan"").",7,30.53000000000003,10.740000000000002
181,15,20,4,9,1.3333333333333333,0,"Examples: ""Janowski"" (""son of John""), ""Piotrowski"" (""son of Peter""), ""Michalski"" (""son of Michael"").",13,37.455384615384645,11.264615384615386
183,21,26,6,10,1.238095238095238,0,"Romanian a as prefix (except for female names that start in ""a"" and probably for others that start in vowels) and ei as suffix.",24,59.10000000000004,10.978333333333332
186,18,28,5,9,1.5555555555555556,0,"Examples: ""Petrescu"" (""Petre's son""), ""Popescu"" (""Popa's son"", Popa meaning Priest), ""Constantinescu"" (""son of Constantin"").",14,23.42500000000001,13.470000000000002
187,27,31,5,18,1.148148148148148,0,"Trains are typically pulled or pushed by locomotives (often known simply as ""engines""), though some are self-propelled, such as multiple units or railcars.",23,47.39434782608697,12.362608695652174
188,16,15,4,9,0.9375,0,"Passengers and cargo are carried in railroad cars, also known as wagons or carriages.",14,53.63928571428573,9.255714285714287
189,13,12,5,8,0.9230769230769232,0,"Trains are designed to a certain gauge, or distance between rails.",11,80.30636363636367,4.790909090909089
190,23,24,5,11,1.0434782608695652,0,"Most trains operate on steel tracks with steel wheels, the low friction of which makes them more efficient than other forms of transport.",23,73.1421739130435,8.771304347826089
191,6,5,2,3,0.8333333333333334,0,Many countries use rail transport.,5,66.40000000000003,5.240000000000002
192,20,20,6,11,1.0,0,"Trains have their roots in wagonways, which used railway tracks and were powered by horses or pulled by cables.",19,80.68684210526318,6.725263157894737
193,20,21,4,12,1.05,0,Rapid transit and trams were first built in the late 1800s to transport large numbers of people in and around cities.,21,72.72000000000003,8.333333333333332
194,22,24,6,9,1.0909090909090908,0,"Beginning in the 1920s, and accelerating following World War II, diesel and electric locomotives replaced steam as the means of motive power.",22,34.532272727272726,13.90818181818182
195,20,20,5,10,1.0,0,The spread of buses led to the closure of many rapid transit and tram systems during this time as well.,20,72.32500000000003,8.140000000000004
196,23,22,5,10,0.9565217391304348,0,"High-speed rail, first built in the 1960s, has proven competitive with cars and planes over short to medium distances.",19,58.42368421052632,9.830526315789475
197,20,19,4,12,0.95,0,"Monorails operate on a single rail, while funiculars and rack railways are uniquely designed to traverse steep slopes.",18,42.86500000000001,11.752222222222224
198,18,17,6,10,0.9444444444444444,0,Trains which use alternative fuels such as natural gas and hydrogen are a 21st-century development.,15,28.05000000000001,13.073333333333338
199,25,25,7,12,1.0,0,"Conventional trains operate on two rails, but several other types of track systems are also in use around the world, such as monorail.",23,54.75086956521741,11.336521739130436
200,16,15,6,10,0.9375,0,=== Terminology === The railway terminology that is used to describe a train varies between countries.,16,29.46785714285716,12.62714285714286
201,13,12,3,7,0.9230769230769232,0,The International Union of Railways seeks to provide standardised terminology across languages.,12,-2.7450000000000045,16.62333333333334
202,11,10,4,5,0.9090909090909092,0,The Association of American Railroads provides terminology for North America.,10,-23.274999999999977,18.99000000000001
203,21,22,4,13,1.0476190476190477,0,"Terms include: Train (Britain): a light locomotive, self-propelled rail vehicle or road-rail vehicle in rail mode.",16,42.545000000000016,11.3
204,16,16,4,8,1.0,0,Train (United States): a connected line of railroad cars with or without a locomotive.,14,53.63928571428573,9.255714285714287
205,12,11,4,7,0.9166666666666666,0,Rolling stock (many jurisdictions): any kind of railway vehicle.,9,28.50000000000003,11.520000000000003
206,19,20,5,11,1.0526315789473684,0,Rake (Britain): a collection of passenger or freight vehicles connected together (not necessarily with a locomotive).,16,10.820000000000022,15.725000000000003
207,25,28,4,17,1.12,0,"Consist (North America and Australia): a train, locomotive(s), cut of cars, or any single car not coupled to another car or locomotive.",22,34.532272727272726,13.90818181818182
208,25,25,6,16,1.0,0,"Trainset (many jurisdictions): a set of vehicles that are permanently coupled together (such as the TGV, ICE or Pioneer Zephyr).",20,34.255000000000024,13.450000000000005
209,19,20,3,11,1.0526315789473684,0,"Starting in the 1500s, wagonways were introduced to haul material from mines; from the 1790s, stronger iron rails were introduced.",20,55.40500000000003,10.500000000000004
210,24,26,6,12,1.0833333333333333,0,"Outside of coal mines, where fuel was readily available, steam locomotives remained untried until the opening of the Stockton and Darlington Railway in 1825.",24,30.900000000000038,14.911666666666669
