id,sentence,source,length
178,"Tagalog
Anak Example: mga Anak ni Pedro (son and daughter of Pedro)
Tamil
Magan.",Sun,14
179,"Example: ""En Magan Murugan"" (""my son Murugan"").",Sun,7
180,"Example ""என் மகன் முருகன்"" (""my son Murugan"").",Sun,7
181,"Examples: ""Janowski"" (""son of John""), ""Piotrowski"" (""son of Peter""), ""Michalski"" (""son of Michael"").",Sun,13
182,"Examples: ""Gonçalves"" (""son of Gonçalo""), ""Henriques"" (""son of Henrique""), ""Fernandes"" (""son of Fernando"").",Sun,13
183,"Romanian
a as prefix (except for female names that start in ""a"" and probably for others that start in vowels) and ei as suffix.",Sun,24
184,"Example: ""Amariei"" (""son of Mary""), ""Adomniței"" (""son of Domnița""), ""Alenei"" (""son of Elena/Leana"").",Sun,13
185,"escu or sometimes aşcu comes from the Latin -iscus which means ""belonging to the people"".",Sun,15
186,"Examples: ""Petrescu"" (""Petre's son""), ""Popescu"" (""Popa's son"", Popa meaning Priest), ""Constantinescu"" (""son of Constantin"").",Sun,14
187,"Trains are typically pulled or pushed by locomotives (often known simply as ""engines""), though some are self-propelled, such as multiple units or railcars.",Rain,23
188,"Passengers and cargo are carried in railroad cars, also known as wagons or carriages.",Rain,14
189,"Trains are designed to a certain gauge, or distance between rails.",Rain,11
190,"Most trains operate on steel tracks with steel wheels, the low friction of which makes them more efficient than other forms of transport.",Rain,23
191,Many countries use rail transport.,Rain,5
192,"Trains have their roots in wagonways, which used railway tracks and were powered by horses or pulled by cables.",Rain,19
193,Rapid transit and trams were first built in the late 1800s to transport large numbers of people in and around cities.,Rain,21
194,"Beginning in the 1920s, and accelerating following World War II, diesel and electric locomotives replaced steam as the means of motive power.",Rain,22
195,The spread of buses led to the closure of many rapid transit and tram systems during this time as well.,Rain,20
196,"High-speed rail, first built in the 1960s, has proven competitive with cars and planes over short to medium distances.",Rain,19
197,"Monorails operate on a single rail, while funiculars and rack railways are uniquely designed to traverse steep slopes.",Rain,18
198,Trains which use alternative fuels such as natural gas and hydrogen are a 21st-century development.,Rain,15
199,"Conventional trains operate on two rails, but several other types of track systems are also in use around the world, such as monorail.",Rain,23
200,"=== Terminology ===
The railway terminology that is used to describe a train varies between countries.",Rain,16
201,The International Union of Railways seeks to provide standardised terminology across languages.,Rain,12
202,The Association of American Railroads provides terminology for North America.,Rain,10
203,"Terms include:

Train (Britain): a light locomotive, self-propelled rail vehicle or road-rail vehicle in rail mode.",Rain,16
204,Train (United States): a connected line of railroad cars with or without a locomotive.,Rain,14
205,Rolling stock (many jurisdictions): any kind of railway vehicle.,Rain,9
206,Rake (Britain): a collection of passenger or freight vehicles connected together (not necessarily with a locomotive).,Rain,16
207,"Consist (North America and Australia): a train, locomotive(s), cut of cars, or any single car not coupled to another car or locomotive.",Rain,22
208,"Trainset (many jurisdictions): a set of vehicles that are permanently coupled together (such as the  TGV, ICE or Pioneer Zephyr).",Rain,20
209,"Starting in the 1500s, wagonways were introduced to haul material from mines; from the 1790s, stronger iron rails were introduced.",Rain,20
210,"Outside of coal mines, where fuel was readily available, steam locomotives remained untried until the opening of the Stockton and Darlington Railway in 1825.",Rain,24
211,British engineer George Stephenson ran a steam locomotive named Locomotion No.,Rain,11
212,"1 on this 40-kilometer (25-mile) long line, hauling over 400 passengers at up to 13 kilometers per hour (8 mph).",Rain,20
213,"News of the success of steam locomotives quickly reached the United States, where the first steam railroad opened in 1829.",Rain,20
214,"American railroad pioneers soon started manufacturing their own locomotives, designed to handle the sharper curves and rougher track typical of the country's railroads.",Rain,23
215,"In the 1850s, trains continued to expand across Europe, with many influenced by or purchases of American locomotive designs.",Rain,19
216,Other European countries pursued their own distinct designs.,Rain,8
217,"Around the world, steam locomotives grew larger and more powerful throughout the rest of the century as technology advanced.",Rain,19
218,"In Japan, which was never colonized, railroads first arrived in the early 1870s.",Rain,13
219,"By 1900, railroads were operating on every continent besides uninhabited Antarctica.",Rain,11
220,"=== New technologies ===

Even as steam locomotive technology continued to improve, inventors in Germany started work on alternative methods for powering trains.",Rain,23
221,"Werner von Siemens built the first train powered by electricity in 1879, and went on to pioneer electric trams.",Rain,19
222,"Experimentation with diesel and gas power continued, culminating in the German ""Flying Hamburger"" in 1933, and the influential American EMD FT in 1939.",Rain,23
223,"These successful diesel locomotives showed that diesel power was superior to steam, due to lower costs, ease of maintenance, and better reliability.",Rain,22
224,"=== Dieselization and increased competition ===
World War II brought great destruction to existing railroads across Europe, Asia, and Africa.",Rain,20
225,"France, Russia, Switzerland, and Japan were leaders in adopting widespread electrified railroads, while other nations focused primarily on dieselization.",Rain,19
226,"Trains began to face strong competition from automobiles and freight trucks in the 1930s, which greatly intensified following World War II.",Rain,21
227,"After the war, air transport also became a significant competitor for passenger trains.",Rain,13
228,"Large amounts of traffic shifted to these new forms of transportation, resulting in a widespread decline in train service, both freight and passenger.",Rain,23
229,"The first high-speed rail service was the Japanese Shinkansen, which entered service in 1964.",Rain,14
230,"The first high-speed train in the Americas was Amtrak's Acela in the United States, which entered service in 2000.",Rain,19
231,"Aside from shipping, freight rail is the most energy-efficient and least carbon-intensive way to transport goods.""",Rain,16
232,"As such, rail transport is considered an important part of achieving sustainable energy.",Rain,13
233,"Intermodal freight trains, carrying double-stack shipping containers, have since the 1970s generated significant business for railroads and gained market share from trucks.",Rain,22
234,Increased use of commuter rail has also been promoted as a means of fighting traffic congestion on highways in urban areas.,Rain,21
235,"== Components ==


=== Bogies ===

Bogies, also known in North America as trucks, support the wheels and axles of trains.",Rain,21
236,Trucks range from just one axle to as many as four or more.,Rain,13
